cutoff	sa_pre	sa_post	ca_pre	ca_post
2026-04-15	106	172	88	512
2026-04-16	238	40	270	330
2026-04-17	247	31	391	209
2026-04-19	247	31	596	4
2026-04-21	247	31	596	4
