date	anti_pattern_uses	notes
2026-03-17	1049	CPC active production
2026-03-18	5651	CPC peak day
2026-03-19	2703	
2026-03-20	1870	
2026-03-21	1198	
2026-03-22	563	
2026-03-23	1193	
2026-03-24	477	natural decline begins
2026-03-25	135	sharp drop (3.5x)
2026-03-26	13	10x drop
2026-03-27	16	
2026-03-30	2	CPC mostly inactive
2026-04-02	1	
2026-04-04	9	
2026-04-28	3	residual
