repo	total_prs	prs_with_autoclose	prs_with_refs	revert_prs	revert_with_keyword
macf	201	18	140	0	0
macf-actions	22	3	14	0	0
macf-marketplace	16	0	6	0	0
macf-devops-toolkit	39	22	13	0	0
macf-science-agent	6	1	2	0	0
