week	bot	operator	excluded	ratio_bot_per_op
2026-W13	0	10	0	0
2026-W16	112	20	3	5.6
2026-W17	230	3	2	76.6667
2026-W18	129	3	0	43
2026-W19	68	15	0	4.53333
